DEPARTAMENTO	SETOR	SECRETARIA	SECRETARIA.1
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE SANTARÉM	UCR SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE SANTARÉM	UCR SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE SANTARÉM	UCR SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE BREVES	UCR BREVES	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE BREVES	UCR BREVES	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE BREVES	UCR BREVES	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE BREVES	UCR BREVES	SAGO	DAP
UNIDADE DE REINSERÇÃO DE REGIME SEMIABERTO DE SANTA IZABEL	URRS SANTA IZABEL	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE BREVES	UCR BREVES	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE BREVES	UCR BREVES	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE BREVES	UCR BREVES	SAGO	DAP
